bbox,category_id,file_name,x_from,y_from,width,height,class
"[73, 32, 57, 38]",2,950.jpg,73,32,57,38,caries
"[35, 62, 42, 59]",2,950.jpg,35,62,42,59,caries
"[103, 85, 46, 13]",1,490.jpg,103,85,46,13,teeth
"[150, 87, 16, 12]",1,490.jpg,150,87,16,12,teeth
"[92, 91, 11, 7]",1,490.jpg,92,91,11,7,teeth
"[85, 98, 9, 17]",1,490.jpg,85,98,9,17,teeth
"[98, 80, 56, 23]",2,490.jpg,98,80,56,23,caries
"[133, 60, 29, 30]",1,1076.jpg,133,60,29,30,teeth
"[158, 156, 29, 21]",1,1076.jpg,158,156,29,21,teeth
"[154, 178, 30, 23]",1,1076.jpg,154,178,30,23,teeth
"[145, 201, 23, 15]",1,1076.jpg,145,201,23,15,teeth
"[1, 206, 11, 18]",1,1076.jpg,1,206,11,18,teeth
"[1, 181, 6, 22]",1,1076.jpg,1,181,6,22,teeth
"[1, 153, 6, 26]",1,1076.jpg,1,153,6,26,teeth
"[26, 24, 79, 37]",1,1076.jpg,26,24,79,37,teeth
"[1, 20, 22, 39]",1,1076.jpg,1,20,22,39,teeth
"[1, 226, 16, 17]",1,1076.jpg,1,226,16,17,teeth
"[19, 65, 28, 21]",1,533.jpg,19,65,28,21,teeth
"[192, 80, 24, 30]",1,533.jpg,192,80,24,30,teeth
"[158, 171, 28, 20]",1,533.jpg,158,171,28,20,teeth
"[169, 189, 23, 28]",1,533.jpg,169,189,23,28,teeth
"[136, 230, 27, 23]",1,533.jpg,136,230,27,23,teeth
"[1, 151, 31, 20]",1,533.jpg,1,151,31,20,teeth
"[3, 171, 19, 14]",1,533.jpg,3,171,19,14,teeth
"[1, 211, 18, 25]",1,533.jpg,1,211,18,25,teeth
"[1, 180, 9, 31]",1,533.jpg,1,180,9,31,teeth
"[11, 231, 31, 25]",1,533.jpg,11,231,31,25,teeth
"[44, 246, 40, 10]",1,533.jpg,44,246,40,10,teeth
"[83, 251, 44, 5]",1,533.jpg,83,251,44,5,teeth
"[121, 246, 21, 10]",1,533.jpg,121,246,21,10,teeth
"[157, 216, 21, 18]",1,533.jpg,157,216,21,18,teeth
"[46, 55, 28, 28]",2,0_ (14).jpg,46,55,28,28,caries
"[82, 143, 24, 28]",1,0_ (14).jpg,82,143,24,28,teeth
"[104, 130, 22, 34]",1,0_ (14).jpg,104,130,22,34,teeth
"[110, 161, 26, 24]",1,0_ (14).jpg,110,161,26,24,teeth
"[127, 143, 25, 35]",1,0_ (14).jpg,127,143,25,35,teeth
"[147, 148, 24, 25]",1,0_ (14).jpg,147,148,24,25,teeth
"[169, 136, 19, 25]",1,0_ (14).jpg,169,136,19,25,teeth
"[174, 109, 27, 34]",1,0_ (14).jpg,174,109,27,34,teeth
"[179, 47, 41, 55]",1,0_ (14).jpg,179,47,41,55,teeth
"[196, 27, 36, 26]",1,0_ (14).jpg,196,27,36,26,teeth
"[54, 88, 36, 37]",1,0_ (14).jpg,54,88,36,37,teeth
"[38, 48, 44, 56]",1,0_ (14).jpg,38,48,44,56,teeth
"[25, 27, 40, 31]",1,0_ (14).jpg,25,27,40,31,teeth
"[185, 1, 71, 46]",1,631.jpg,185,1,71,46,teeth
"[185, 110, 45, 29]",1,631.jpg,185,110,45,29,teeth
"[176, 136, 49, 38]",1,631.jpg,176,136,49,38,teeth
"[176, 174, 50, 32]",1,631.jpg,176,174,50,32,teeth
"[168, 194, 50, 28]",1,631.jpg,168,194,50,28,teeth
"[146, 218, 46, 28]",1,631.jpg,146,218,46,28,teeth
"[122, 234, 45, 22]",1,631.jpg,122,234,45,22,teeth
"[87, 241, 48, 15]",1,631.jpg,87,241,48,15,teeth
"[1, 236, 88, 20]",1,631.jpg,1,236,88,20,teeth
"[1, 222, 37, 22]",1,631.jpg,1,222,37,22,teeth
"[1, 171, 24, 55]",1,631.jpg,1,171,24,55,teeth
"[1, 159, 26, 18]",1,631.jpg,1,159,26,18,teeth
"[1, 118, 20, 43]",1,631.jpg,1,118,20,43,teeth
"[180, 105, 55, 39]",2,631.jpg,180,105,55,39,caries
"[195, 75, 28, 12]",2,0_ (38).jpg,195,75,28,12,caries
"[170, 60, 17, 16]",2,0_ (38).jpg,170,60,17,16,caries
"[77, 59, 23, 21]",2,0_ (38).jpg,77,59,23,21,caries
"[183, 152, 27, 16]",2,0_ (38).jpg,183,152,27,16,caries
"[76, 150, 22, 18]",2,0_ (38).jpg,76,150,22,18,caries
"[69, 47, 33, 38]",1,0_ (38).jpg,69,47,33,38,teeth
"[40, 42, 30, 39]",1,0_ (38).jpg,40,42,30,39,teeth
"[104, 56, 44, 37]",1,0_ (38).jpg,104,56,44,37,teeth
"[151, 55, 40, 38]",1,0_ (38).jpg,151,55,40,38,teeth
"[195, 56, 29, 30]",1,0_ (38).jpg,195,56,29,30,teeth
"[59, 126, 20, 40]",1,0_ (38).jpg,59,126,20,40,teeth
"[77, 137, 23, 31]",1,0_ (38).jpg,77,137,23,31,teeth
"[99, 141, 33, 35]",1,0_ (38).jpg,99,141,33,35,teeth
"[135, 146, 32, 35]",1,0_ (38).jpg,135,146,32,35,teeth
"[171, 144, 24, 27]",1,0_ (38).jpg,171,144,24,27,teeth
"[199, 140, 19, 27]",1,0_ (38).jpg,199,140,19,27,teeth
"[208, 117, 30, 30]",1,0_ (38).jpg,208,117,30,30,teeth
"[225, 108, 19, 15]",1,0_ (38).jpg,225,108,19,15,teeth
"[216, 136, 40, 32]",1,530.jpg,216,136,40,32,teeth
"[200, 161, 56, 36]",1,530.jpg,200,161,56,36,teeth
"[210, 190, 46, 31]",1,530.jpg,210,190,46,31,teeth
"[186, 211, 58, 32]",1,530.jpg,186,211,58,32,teeth
"[1, 125, 30, 57]",1,530.jpg,1,125,30,57,teeth
"[1, 180, 27, 28]",1,530.jpg,1,180,27,28,teeth
"[1, 210, 34, 31]",1,530.jpg,1,210,34,31,teeth
"[47, 37, 94, 43]",1,998.jpg,47,37,94,43,teeth
"[146, 37, 93, 41]",1,998.jpg,146,37,93,41,teeth
"[1, 66, 45, 51]",1,998.jpg,1,66,45,51,teeth
"[6, 182, 56, 30]",1,998.jpg,6,182,56,30,teeth
"[7, 210, 61, 32]",1,998.jpg,7,210,61,32,teeth
"[15, 240, 42, 16]",1,998.jpg,15,240,42,16,teeth
"[186, 123, 24, 14]",1,109.jpg,186,123,24,14,teeth
"[185, 136, 21, 11]",1,109.jpg,185,136,21,11,teeth
"[184, 147, 17, 10]",1,109.jpg,184,147,17,10,teeth
"[186, 158, 11, 9]",1,109.jpg,186,158,11,9,teeth
"[174, 163, 13, 12]",1,109.jpg,174,163,13,12,teeth
"[134, 164, 38, 18]",1,109.jpg,134,164,38,18,teeth
"[117, 166, 17, 12]",1,109.jpg,117,166,17,12,teeth
"[102, 161, 14, 15]",1,109.jpg,102,161,14,15,teeth
"[89, 154, 21, 11]",1,109.jpg,89,154,21,11,teeth
"[81, 128, 25, 25]",1,109.jpg,81,128,25,25,teeth
"[181, 118, 34, 24]",2,109.jpg,181,118,34,24,caries
"[169, 158, 23, 22]",2,109.jpg,169,158,23,22,caries
"[97, 156, 24, 25]",2,109.jpg,97,156,24,25,caries
"[84, 149, 31, 21]",2,109.jpg,84,149,31,21,caries
"[214, 61, 27, 34]",1,717.jpg,214,61,27,34,teeth
"[196, 27, 42, 46]",1,717.jpg,196,27,42,46,teeth
"[191, 1, 36, 23]",1,717.jpg,191,1,36,23,teeth
"[1, 90, 38, 28]",1,717.jpg,1,90,38,28,teeth
"[1, 62, 27, 35]",1,717.jpg,1,62,27,35,teeth
"[1, 29, 14, 39]",1,717.jpg,1,29,14,39,teeth
"[208, 107, 18, 24]",2,602.jpg,208,107,18,24,caries
"[204, 106, 41, 35]",1,602.jpg,204,106,41,35,teeth
"[184, 138, 50, 38]",1,602.jpg,184,138,50,38,teeth
"[172, 177, 44, 30]",1,602.jpg,172,177,44,30,teeth
"[161, 205, 42, 32]",1,602.jpg,161,205,42,32,teeth
"[135, 223, 38, 30]",1,602.jpg,135,223,38,30,teeth
"[114, 243, 36, 13]",1,602.jpg,114,243,36,13,teeth
"[9, 244, 101, 12]",1,602.jpg,9,244,101,12,teeth
"[5, 213, 31, 35]",1,602.jpg,5,213,31,35,teeth
"[1, 193, 25, 33]",1,602.jpg,1,193,25,33,teeth
"[1, 169, 13, 28]",1,602.jpg,1,169,13,28,teeth
"[1, 141, 13, 14]",1,602.jpg,1,141,13,14,teeth
"[126, 71, 51, 27]",1,493.jpg,126,71,51,27,teeth
"[83, 74, 44, 25]",1,493.jpg,83,74,44,25,teeth
"[52, 79, 31, 30]",1,493.jpg,52,79,31,30,teeth
"[50, 147, 23, 18]",1,493.jpg,50,147,23,18,teeth
"[50, 166, 31, 19]",1,493.jpg,50,166,31,19,teeth
"[56, 185, 24, 14]",1,493.jpg,56,185,24,14,teeth
"[68, 196, 20, 15]",1,493.jpg,68,196,20,15,teeth
"[77, 209, 22, 15]",1,493.jpg,77,209,22,15,teeth
"[97, 221, 17, 9]",1,493.jpg,97,221,17,9,teeth
"[114, 225, 22, 10]",1,493.jpg,114,225,22,10,teeth
"[134, 221, 22, 12]",1,493.jpg,134,221,22,12,teeth
"[152, 219, 25, 8]",1,493.jpg,152,219,25,8,teeth
"[162, 207, 24, 11]",1,493.jpg,162,207,24,11,teeth
"[173, 193, 24, 13]",1,493.jpg,173,193,24,13,teeth
"[178, 180, 24, 11]",1,493.jpg,178,180,24,11,teeth
"[180, 160, 31, 18]",1,493.jpg,180,160,31,18,teeth
"[182, 149, 30, 13]",1,493.jpg,182,149,30,13,teeth
"[175, 78, 27, 32]",1,493.jpg,175,78,27,32,teeth
"[45, 142, 33, 28]",2,493.jpg,45,142,33,28,caries
"[175, 155, 41, 28]",2,493.jpg,175,155,41,28,caries
"[80, 42, 81, 39]",1,536.jpg,80,42,81,39,teeth
"[14, 48, 61, 36]",1,536.jpg,14,48,61,36,teeth
"[1, 60, 32, 41]",1,536.jpg,1,60,32,41,teeth
"[166, 48, 65, 26]",1,536.jpg,166,48,65,26,teeth
"[199, 57, 57, 30]",1,536.jpg,199,57,57,30,teeth
"[1, 146, 21, 22]",1,536.jpg,1,146,21,22,teeth
"[198, 117, 34, 47]",1,536.jpg,198,117,34,47,teeth
"[75, 37, 91, 49]",2,536.jpg,75,37,91,49,caries
"[98, 67, 35, 15]",1,279.jpg,98,67,35,15,teeth
"[136, 67, 34, 14]",1,279.jpg,136,67,34,14,teeth
"[80, 72, 15, 9]",1,279.jpg,80,72,15,9,teeth
"[180, 1, 76, 47]",1,1081.jpg,180,1,76,47,teeth
"[157, 174, 53, 60]",1,1081.jpg,157,174,53,60,teeth
"[140, 221, 55, 35]",1,1081.jpg,140,221,55,35,teeth
"[216, 172, 38, 21]",1,757.jpg,216,172,38,21,teeth
"[201, 195, 46, 23]",1,757.jpg,201,195,46,23,teeth
"[191, 219, 46, 23]",1,757.jpg,191,219,46,23,teeth
"[167, 238, 44, 18]",1,757.jpg,167,238,44,18,teeth
"[1, 223, 29, 25]",1,757.jpg,1,223,29,25,teeth
"[1, 196, 9, 26]",1,757.jpg,1,196,9,26,teeth
"[1, 154, 17, 31]",1,757.jpg,1,154,17,31,teeth
"[15, 28, 136, 24]",1,757.jpg,15,28,136,24,teeth
"[1, 36, 28, 18]",1,757.jpg,1,36,28,18,teeth
"[153, 40, 34, 17]",1,757.jpg,153,40,34,17,teeth
"[110, 96, 21, 10]",1,436.jpg,110,96,21,10,teeth
"[85, 95, 25, 10]",1,436.jpg,85,95,25,10,teeth
"[68, 92, 18, 12]",1,436.jpg,68,92,18,12,teeth
"[51, 95, 14, 11]",1,436.jpg,51,95,14,11,teeth
"[133, 97, 13, 7]",1,436.jpg,133,97,13,7,teeth
"[136, 17, 56, 59]",1,596.jpg,136,17,56,59,teeth
"[80, 25, 55, 55]",1,596.jpg,80,25,55,55,teeth
"[45, 40, 37, 41]",1,596.jpg,45,40,37,41,teeth
"[22, 55, 33, 45]",1,596.jpg,22,55,33,45,teeth
"[207, 43, 42, 47]",1,596.jpg,207,43,42,47,teeth
"[191, 29, 39, 44]",1,596.jpg,191,29,39,44,teeth
"[210, 145, 40, 26]",1,596.jpg,210,145,40,26,teeth
"[205, 169, 44, 23]",1,596.jpg,205,169,44,23,teeth
"[203, 193, 40, 16]",1,596.jpg,203,193,40,16,teeth
"[197, 206, 40, 10]",1,596.jpg,197,206,40,10,teeth
"[21, 181, 40, 18]",1,596.jpg,21,181,40,18,teeth
"[12, 161, 31, 21]",1,596.jpg,12,161,31,21,teeth
"[41, 200, 30, 25]",1,596.jpg,41,200,30,25,teeth
"[80, 228, 30, 19]",1,596.jpg,80,228,30,19,teeth
"[111, 229, 36, 17]",1,596.jpg,111,229,36,17,teeth
"[141, 228, 34, 20]",1,596.jpg,141,228,34,20,teeth
"[176, 223, 33, 20]",1,596.jpg,176,223,33,20,teeth
"[198, 216, 21, 14]",1,596.jpg,198,216,21,14,teeth
"[205, 140, 50, 36]",2,596.jpg,205,140,50,36,caries
"[100, 75, 33, 17]",1,91.jpg,100,75,33,17,teeth
"[137, 73, 34, 21]",1,91.jpg,137,73,34,21,teeth
"[132, 68, 44, 31]",2,91.jpg,132,68,44,31,caries
"[36, 3, 43, 81]",1,575.jpg,36,3,43,81,teeth
"[47, 176, 40, 30]",1,575.jpg,47,176,40,30,teeth
"[48, 206, 44, 30]",1,575.jpg,48,206,44,30,teeth
"[54, 238, 40, 18]",1,575.jpg,54,238,40,18,teeth
"[226, 175, 30, 60]",1,575.jpg,226,175,30,60,teeth
"[231, 238, 25, 18]",1,575.jpg,231,238,25,18,teeth
"[42, 171, 50, 40]",2,575.jpg,42,171,50,40,caries
"[49, 233, 50, 28]",2,575.jpg,49,233,50,28,caries
"[96, 102, 13, 15]",1,897.jpg,96,102,13,15,teeth
"[124, 63, 35, 21]",1,441.jpg,124,63,35,21,teeth
"[97, 64, 28, 23]",1,441.jpg,97,64,28,23,teeth
"[79, 68, 19, 18]",1,441.jpg,79,68,19,18,teeth
"[62, 88, 21, 13]",1,441.jpg,62,88,21,13,teeth
"[172, 82, 20, 24]",1,441.jpg,172,82,20,24,teeth
"[160, 70, 18, 17]",1,441.jpg,160,70,18,17,teeth
"[169, 141, 22, 14]",1,441.jpg,169,141,22,14,teeth
"[163, 151, 21, 15]",1,441.jpg,163,151,21,15,teeth
"[160, 165, 16, 8]",1,441.jpg,160,165,16,8,teeth
"[59, 137, 24, 15]",1,441.jpg,59,137,24,15,teeth
"[62, 151, 27, 16]",1,441.jpg,62,151,27,16,teeth
"[64, 166, 28, 13]",1,441.jpg,64,166,28,13,teeth
"[75, 176, 13, 10]",1,441.jpg,75,176,13,10,teeth
"[87, 181, 17, 11]",1,441.jpg,87,181,17,11,teeth
"[106, 184, 17, 12]",1,441.jpg,106,184,17,12,teeth
"[124, 186, 21, 8]",1,441.jpg,124,186,21,8,teeth
"[149, 176, 17, 12]",1,441.jpg,149,176,17,12,teeth
"[59, 161, 38, 23]",2,441.jpg,59,161,38,23,caries
"[1, 26, 60, 67]",1,768.jpg,1,26,60,67,teeth
"[1, 1, 47, 34]",1,768.jpg,1,1,47,34,teeth
"[18, 186, 54, 27]",1,768.jpg,18,186,54,27,teeth
"[10, 217, 64, 37]",1,768.jpg,10,217,64,37,teeth
"[229, 185, 27, 34]",1,768.jpg,229,185,27,34,teeth
"[227, 220, 29, 36]",1,768.jpg,227,220,29,36,teeth
"[180, 80, 55, 24]",1,993.jpg,180,80,55,24,teeth
"[188, 62, 52, 21]",1,993.jpg,188,62,52,21,teeth
"[207, 43, 40, 27]",1,993.jpg,207,43,40,27,teeth
"[199, 20, 41, 38]",1,993.jpg,199,20,41,38,teeth
"[160, 12, 35, 30]",1,993.jpg,160,12,35,30,teeth
"[126, 11, 30, 22]",1,993.jpg,126,11,30,22,teeth
"[113, 48, 21, 22]",1,994.jpg,113,48,21,22,teeth
"[121, 27, 20, 28]",1,994.jpg,121,27,20,28,teeth
"[130, 2, 12, 32]",1,994.jpg,130,2,12,32,teeth
"[209, 79, 26, 34]",1,994.jpg,209,79,26,34,teeth
"[217, 64, 24, 17]",1,994.jpg,217,64,24,17,teeth
"[222, 36, 17, 34]",1,994.jpg,222,36,17,34,teeth
"[216, 12, 15, 33]",1,994.jpg,216,12,15,33,teeth
"[189, 1, 35, 27]",1,994.jpg,189,1,35,27,teeth
"[140, 1, 51, 10]",1,994.jpg,140,1,51,10,teeth
"[116, 22, 30, 38]",2,994.jpg,116,22,30,38,caries
"[217, 31, 27, 44]",2,994.jpg,217,31,27,44,caries
"[211, 7, 25, 43]",2,994.jpg,211,7,25,43,caries
"[205, 105, 27, 33]",1,678.jpg,205,105,27,33,teeth
"[50, 103, 30, 31]",1,678.jpg,50,103,30,31,teeth
"[50, 132, 34, 22]",1,678.jpg,50,132,34,22,teeth
"[30, 24, 39, 34]",1,678.jpg,30,24,39,34,teeth
"[39, 1, 37, 25]",1,678.jpg,39,1,37,25,teeth
"[214, 27, 35, 38]",1,678.jpg,214,27,35,38,teeth
"[209, 10, 38, 31]",1,678.jpg,209,10,38,31,teeth
"[197, 1, 35, 20]",1,678.jpg,197,1,35,20,teeth
"[151, 70, 33, 29]",1,684.jpg,151,70,33,29,teeth
"[51, 49, 82, 15]",1,684.jpg,51,49,82,15,teeth
"[3, 66, 29, 33]",1,684.jpg,3,66,29,33,teeth
"[2, 13, 46, 61]",1,0_ (47).jpg,2,13,46,61,teeth
"[14, 59, 49, 66]",1,0_ (47).jpg,14,59,49,66,teeth
"[27, 114, 37, 49]",1,0_ (47).jpg,27,114,37,49,teeth
"[47, 144, 27, 52]",1,0_ (47).jpg,47,144,27,52,teeth
"[69, 166, 30, 47]",1,0_ (47).jpg,69,166,30,47,teeth
"[95, 185, 29, 34]",1,0_ (47).jpg,95,185,29,34,teeth
"[124, 185, 30, 37]",1,0_ (47).jpg,124,185,30,37,teeth
"[155, 176, 30, 40]",1,0_ (47).jpg,155,176,30,40,teeth
"[183, 154, 31, 53]",1,0_ (47).jpg,183,154,31,53,teeth
"[199, 130, 35, 48]",1,0_ (47).jpg,199,130,35,48,teeth
"[205, 97, 36, 45]",1,0_ (47).jpg,205,97,36,45,teeth
"[207, 42, 49, 55]",1,0_ (47).jpg,207,42,49,55,teeth
"[216, 1, 40, 48]",1,0_ (47).jpg,216,1,40,48,teeth
"[146, 1, 63, 19]",1,0_ (47).jpg,146,1,63,19,teeth
"[76, 1, 66, 19]",1,0_ (47).jpg,76,1,66,19,teeth
"[54, 47, 20, 16]",2,629.jpg,54,47,20,16,caries
"[44, 40, 45, 27]",1,629.jpg,44,40,45,27,teeth
"[189, 22, 43, 42]",1,629.jpg,189,22,43,42,teeth
"[137, 9, 46, 7]",1,629.jpg,137,9,46,7,teeth
"[82, 12, 50, 10]",1,629.jpg,82,12,50,10,teeth
"[53, 16, 33, 27]",1,629.jpg,53,16,33,27,teeth
"[185, 32, 37, 37]",1,691.jpg,185,32,37,37,teeth
"[187, 14, 25, 17]",1,691.jpg,187,14,25,17,teeth
"[137, 3, 49, 26]",1,691.jpg,137,3,49,26,teeth
"[84, 2, 51, 29]",1,691.jpg,84,2,51,29,teeth
"[55, 11, 28, 21]",1,691.jpg,55,11,28,21,teeth
"[37, 32, 24, 22]",1,691.jpg,37,32,24,22,teeth
"[30, 50, 16, 18]",1,691.jpg,30,50,16,18,teeth
"[35, 119, 22, 18]",1,691.jpg,35,119,22,18,teeth
"[40, 134, 20, 14]",1,691.jpg,40,134,20,14,teeth
"[50, 148, 14, 20]",1,691.jpg,50,148,14,20,teeth
"[182, 120, 23, 15]",1,691.jpg,182,120,23,15,teeth
"[182, 135, 25, 17]",1,691.jpg,182,135,25,17,teeth
"[181, 148, 20, 19]",1,691.jpg,181,148,20,19,teeth
"[184, 161, 12, 16]",1,691.jpg,184,161,12,16,teeth
"[103, 66, 42, 32]",1,702.jpg,103,66,42,32,teeth
"[58, 71, 44, 27]",1,702.jpg,58,71,44,27,teeth
"[27, 79, 33, 29]",1,702.jpg,27,79,33,29,teeth
"[148, 75, 28, 30]",1,702.jpg,148,75,28,30,teeth
"[143, 70, 38, 40]",2,702.jpg,143,70,38,40,caries
"[30, 47, 32, 40]",1,0_ (6).jpg,30,47,32,40,teeth
"[35, 88, 40, 29]",1,0_ (6).jpg,35,88,40,29,teeth
"[43, 117, 36, 29]",1,0_ (6).jpg,43,117,36,29,teeth
"[51, 142, 27, 33]",1,0_ (6).jpg,51,142,27,33,teeth
"[78, 137, 29, 38]",1,0_ (6).jpg,78,137,29,38,teeth
"[65, 173, 25, 28]",1,0_ (6).jpg,65,173,25,28,teeth
"[90, 175, 26, 33]",1,0_ (6).jpg,90,175,26,33,teeth
"[114, 168, 26, 44]",1,0_ (6).jpg,114,168,26,44,teeth
"[141, 166, 28, 41]",1,0_ (6).jpg,141,166,28,41,teeth
"[168, 158, 29, 37]",1,0_ (6).jpg,168,158,29,37,teeth
"[183, 137, 29, 32]",1,0_ (6).jpg,183,137,29,32,teeth
